profile_id,source_file,impact_type
VYULKA_NATURAL,Вьюлка (условно-естественные условия),отсутствие нарушений
KILMA_NATURAL,Кильма (условно-естественные условия),отсутствие нарушений
KOSTINKA_MUFFLED_DRAIAGE_CANALS,Костинка (заглушенные мелиоративные каналы),заглушенные мелиоративные каналы
KURGA _DRAINAGE_CANAL,Курга (Частичное подтопление от гидромелиоративного канала (открытого),частичное подтопление от гидромелиоративного канала (открытого)
CONTROLLED_DRAINAGE_CANALS,"Окаёмово (Гидромелиоративная сеть каналов в долине реки (управляемая, двойной мелиорации)","гидромелиоративная сеть каналов в долине реки (управляемая, двойной мелиорации)"
PAVLOVICHI_UPPER_STREAM,Павловичи (верхний бьеф),верхний бьеф
PAVLOVICHI_DOWN_STREAM,Павловичи (нижний бьеф),нижний бьеф
POLUBARSKOE_UPPER_STREAM,Полубарское (верхний бьеф),верхний бьеф
POLUBARSKOE_DOWN_STREAM,Полубарское (нижний бьеф),нижний бьеф
SUSHCHOVO_WATERCOURSE_STRAIGHTENING,Сущёво (спрямление русла водотока),спрямление русла водотока
